1	-0.0250	-74.9375	-76.8125
2	-0.0140	-46.8750	-47.5312
3	-0.0154	-101.2500	-102.8125
4	0.0102	-196.2500	-194.2500
5	-0.0141	-84.0000	-85.1875
6	-0.0438	-58.5625	-61.1250
7	-0.1140	-80.5625	-89.7500
8	-0.0535	-240.7500	-253.6250
9	-0.0332	-218.6250	-225.8750
10	-0.1429	-90.5625	-103.5000
11	-0.0874	-118.7500	-129.1250
12	-0.1474	-49.1875	-56.4375
13	0.0159	-157.3750	-154.8750
14	-0.0154	-276.7500	-281.0000
15	-0.0581	-81.8125	-86.5625
16	-0.0284	-255.0000	-262.2500
17	0.0138	-135.8750	-134.0000
18	-0.0500	-113.7500	-119.4375
19	-0.0099	-151.5000	-153.0000
20	-0.0190	-54.2188	-55.2500
21	-0.0072	-60.9062	-61.3438
22	0.0129	-203.6250	-201.0000
23	0.0150	-58.5000	-57.6250
24	-0.0280	-96.0625	-98.7500
25	-0.0135	-156.8750	-159.0000
26	-0.0594	-145.1250	-153.7500
27	-0.0762	-100.0000	-107.6250
28	-0.0127	-227.1250	-230.0000
29	0.0123	-53.5625	-52.9062
30	-0.0397	-77.1250	-80.1875
31	-0.0115	-196.1250	-198.3750
32	-0.0496	-35.3125	-37.0625
33	0.0638	-95.9375	-89.8125
34	0.0218	-166.5000	-162.8750
35	0.0028	-270.0000	-269.2500
36	0.0045	-70.1250	-69.8125
37	-0.0226	-85.5625	-87.5000
38	-0.0907	-69.6250	-75.9375
39	-0.0077	-26.2812	-26.4844
40	-0.0536	-261.0000	-275.0000
41	-0.0222	-109.6250	-112.0625
42	-0.0715	-68.1875	-73.0625
43	-0.0265	-198.3750	-203.6250
44	-0.0161	-194.2500	-197.3750
45	-0.0385	-84.5000	-87.7500
46	-0.0609	-66.7500	-70.8125
47	-0.0141	-97.2500	-98.6250
48	-0.0172	-378.5000	-385.0000
49	-0.0801	-52.6875	-56.9062
50	0.0383	-46.5312	-44.7500
51	0.0027	-28.8438	-28.7656
52	-0.0229	-136.5000	-139.6250
53	-0.0904	-46.6562	-50.8750
54	-0.1126	-62.4688	-69.5000
55	-0.0653	-66.0625	-70.3750
56	-0.0408	-85.7500	-89.2500
57	-0.0134	-65.3750	-66.2500
58	-0.0188	-58.1250	-59.2188
59	-0.0035	-53.0000	-53.1875
60	-0.0416	-85.5625	-89.1250
61	-0.1227	-138.5000	-155.5000
62	-0.0286	-67.8125	-69.7500
63	-0.0500	-46.8438	-49.1875
64	-0.0473	-80.6875	-84.5000
65	-0.0988	-37.0000	-40.6562
66	-0.0163	-275.5000	-280.0000
67	-0.0563	-57.2188	-60.4375
68	-0.0755	-52.5625	-56.5312
69	-0.0809	-134.3750	-145.2500
70	-0.0641	-208.7500	-222.1250
71	-0.0169	-26.7812	-27.2344
72	-0.1407	-56.6562	-64.6250
73	-0.0197	-91.9375	-93.7500
74	-0.0566	-106.0000	-112.0000
75	-0.0035	-45.1875	-45.3438
76	-0.1888	-38.9062	-46.2500
77	-0.0826	-26.1094	-28.2656
78	-0.0419	-286.5000	-298.5000
79	-0.1390	-66.5625	-75.8125
80	-0.0729	-95.1250	-102.0625
81	0.0259	-134.8750	-131.3750
82	-0.0858	-14.5703	-15.8203
83	-0.0201	-260.7500	-266.0000
84	-0.0058	-173.5000	-174.5000
85	-0.0688	-152.6250	-163.1250
86	-0.0575	-119.6250	-126.5000
87	-0.0220	-159.1250	-162.6250
88	-0.0198	-289.7500	-295.5000
89	-0.0234	-149.6250	-153.1250
90	-0.0311	-72.3750	-74.6250
91	-0.0122	-349.2500	-353.5000
92	-0.0630	-55.5312	-59.0312
93	-0.0322	-225.2500	-232.5000
94	-0.0598	-179.7500	-190.5000
95	0.0021	-89.3125	-89.1250
96	-0.0058	-29.5625	-29.7344
97	-0.0099	-202.1250	-204.1250
98	-0.1064	-36.1250	-39.9688
99	-0.0945	-63.5000	-69.5000
100	-0.1746	-76.6250	-90.0000
