step,loss,eval_loss,learning_rate
1150,0.2548,,3.613848585777363e-06
1160,0.2741,,3.440458968548085e-06
1170,0.2381,,3.27046378331236e-06
1180,0.2241,,3.103950999196792e-06
1190,0.2568,,2.9410067832546973e-06
1200,0.2547,,2.7817154558763393e-06
1210,0.2593,,2.6261594471548278e-06
1220,0.2291,,2.4744192542301636e-06
1228,,0.5837703943252563,
1230,0.2489,,2.3265733996335926e-06
1240,0.1734,,2.1826983906537415e-06
1250,0.1815,,2.0428686797456265e-06
1260,0.1681,,1.9071566260029772e-06
1270,0.1719,,1.7756324577138627e-06
1280,0.1646,,1.6483642360189388e-06
1290,0.1672,,1.5254178196911552e-06
1300,0.1727,,1.40685683105517e-06
1310,0.1766,,1.2927426230640417e-06
1320,0.1696,,1.1831342475503105e-06
1330,0.1756,,1.0780884246678447e-06
1340,0.1695,,9.776595135402899e-07
1350,0.1612,,8.818994841313011e-07
1360,0.1702,,7.908578903511255e-07
1370,0.171,,7.045818444134356e-07
1380,0.173,,6.231159924556973e-07
1390,0.164,,5.465024914356842e-07
1400,0.1574,,4.747809873160858e-07
1410,0.1731,,4.0798859454851405e-07
1420,0.1514,,3.461598768675123e-07
1430,0.182,,2.893268294045126e-07
1440,0.1783,,2.3751886213098097e-07
1450,0.1883,,1.9076278463935893e-07
1460,0.1673,,1.490827922696203e-07
1470,0.195,,1.1250045358866645e-07
1480,0.1839,,8.103469922902785e-08
1490,0.175,,5.4701812092627925e-08
1500,0.1761,,3.351541892471777e-08
1510,0.1723,,1.748648326229452e-08
1520,0.1767,,6.623299760698532e-09
1530,0.1748,,9.31489901286886e-10
1535,,0.6662209630012512,
1535,,,
1535,,0.6662209630012512,
